Item,SKU,Qty,Price,Status,Category
BMW 520d Touring Executive 2017,CAR-0001,1,17990.0,active,Wagon
VW Golf 1.6 TDI 2019,CAR-0002,1,15490.0,active,Hatchback
Audi A3 1.4 TFSI 2018,CAR-0003,1,16950.0,reserved,Hatchback
Mercedes C220d 2016,CAR-0004,1,18990.0,active,Sedan
Peugeot 3008 1.5 BlueHDi 2019,CAR-0005,1,21490.0,active,SUV
Renault Clio 0.9 TCe 2017,CAR-0006,1,9990.0,draft,Hatchback
Ford Focus 1.0 EcoBoost 2018,CAR-0007,1,11990.0,active,Hatchback
Nissan Qashqai 1.5 dCi 2018,CAR-0008,1,15990.0,active,SUV
Seat Leon 1.6 TDI 2017,CAR-0009,1,12990.0,sold,Hatchback
Skoda Octavia 1.6 TDI 2018,CAR-0010,1,13990.0,active,Sedan
Volvo V60 D3 2016,CAR-0011,1,16490.0,reserved,Wagon
Toyota Yaris Hybrid 2019,CAR-0012,1,15490.0,active,Hatchback
Kia Ceed 1.0 T-GDi 2019,CAR-0013,1,13950.0,active,Hatchback
Hyundai Tucson 1.7 CRDi 2017,CAR-0014,1,16990.0,active,SUV
Opel Astra 1.4 Turbo 2017,CAR-0015,1,11490.0,active,Hatchback
Fiat 500 1.2 Lounge 2016,CAR-0016,1,8990.0,active,City Car
Mini Cooper D 2015,CAR-0017,1,12990.0,active,Hatchback
BMW X1 sDrive18d 2016,CAR-0018,1,19990.0,processing,SUV
Citroën C3 1.2 PureTech 2018,CAR-0019,1,10990.0,active,Hatchback
Honda Civic 1.6 i-DTEC 2017,CAR-0020,1,15950.0,active,Hatchback
